Year,Name,BASIN,ISO_TIME_________,NATURE,LAT,LON,WMO WIND,WMO PRES,USA WIND,USA PRES
2023,IDALIA,NA,2023-08-26 12:00:00,TS,20.8,-86.1,25,1006,25,1006
2023,IDALIA,NA,15:00:00,TS,21.1,-86.1,,,25,1006
2023,IDALIA,NA,18:00:00,TS,21.3,-86.2,25,1006,25,1006
2023,IDALIA,NA,21:00:00,TS,21.3,-86.3,,,28,1005
2023,IDALIA,NA,2023-08-27 0:00:00,TS,21.1,-86.4,30,1004,30,1004
2023,IDALIA,NA,3:00:00,TS,20.8,-86.7,,,30,1003
2023,IDALIA,NA,6:00:00,TS,20.5,-86.8,30,1002,30,1002
2023,IDALIA,NA,9:00:00,TS,20.2,-86.6,,,33,1001
2023,IDALIA,NA,12:00:00,TS,19.9,-86.3,35,999,35,999
2023,IDALIA,NA,15:00:00,TS,19.9,-86,,,38,998
2023,IDALIA,NA,18:00:00,TS,19.9,-85.8,40,996,40,996
2023,IDALIA,NA,21:00:00,TS,19.8,-85.6,,,43,994
2023,IDALIA,NA,2023-08-28 0:00:00,TS,19.8,-85.4,45,992,45,992
2023,IDALIA,NA,3:00:00,TS,19.8,-85.3,,,50,991
2023,IDALIA,NA,6:00:00,TS,19.9,-85.2,55,989,55,989
2023,IDALIA,NA,9:00:00,TS,20.2,-85.2,,,55,989
2023,IDALIA,NA,12:00:00,TS,20.6,-85.2,55,989,55,989
2023,IDALIA,NA,15:00:00,TS,20.9,-85.2,,,58,988
2023,IDALIA,NA,18:00:00,TS,21.2,-85.2,60,986,60,986
2023,IDALIA,NA,21:00:00,TS,21.5,-85.2,,,60,985
2023,IDALIA,NA,2023-08-29 0:00:00,TS,21.8,-85.1,60,984,60,984
2023,IDALIA,NA,3:00:00,TS,22.2,-85.1,,,63,983
2023,IDALIA,NA,6:00:00,TS,22.6,-85,65,981,65,981
2023,IDALIA,NA,9:00:00,TS,23.1,-84.9,,,68,980
2023,IDALIA,NA,12:00:00,TS,23.8,-84.8,70,978,70,978
2023,IDALIA,NA,15:00:00,TS,24.5,-84.8,,,75,976
2023,IDALIA,NA,18:00:00,TS,25.3,-84.8,80,973,80,973
2023,IDALIA,NA,21:00:00,TS,26.1,-84.8,,,85,969
2023,IDALIA,NA,2023-08-30 0:00:00,TS,26.9,-84.7,90,965,90,965
2023,IDALIA,NA,3:00:00,TS,27.6,-84.7,,,98,955
2023,IDALIA,NA,6:00:00,TS,28.3,-84.5,105,945,105,945
2023,IDALIA,NA,9:00:00,TS,29.1,-84.1,115,942,115,942
2023,IDALIA,NA,11:45:00,TS,29.9,-83.6,100,950,100,950
2023,IDALIA,NA,12:00:00,TS,30,-83.5,100,954,100,954
2023,IDALIA,NA,15:00:00,TS,30.9,-82.8,,,80,968
2023,IDALIA,NA,18:00:00,TS,31.5,-82.5,60,981,60,981
2023,IDALIA,NA,21:00:00,TS,32.2,-81.8,,,55,983
2023,IDALIA,NA,2023-08-31 0:00:00,TS,32.7,-80.9,50,985,50,985
2023,IDALIA,NA,3:00:00,TS,33.2,-79.9,,,50,988
2023,IDALIA,NA,6:00:00,TS,33.5,-78.9,50,990,50,990
2023,IDALIA,NA,9:00:00,TS,33.7,-78,,,53,990
2023,IDALIA,NA,12:00:00,ET,33.7,-77,55,990,55,990
2023,IDALIA,NA,15:00:00,ET,33.7,-75.8,,,55,992
2023,IDALIA,NA,18:00:00,ET,33.6,-74.6,55,993,55,993
2023,IDALIA,NA,21:00:00,ET,33.5,-73.4,,,55,995
2023,IDALIA,NA,2023-09-01 0:00:00,ET,33.4,-72.3,55,996,55,996
2023,IDALIA,NA,3:00:00,ET,33.1,-71.4,,,53,997
2023,IDALIA,NA,6:00:00,ET,32.7,-70.5,50,997,50,997
2023,IDALIA,NA,9:00:00,ET,32.5,-69.6,,,50,998
2023,IDALIA,NA,12:00:00,ET,32.3,-68.8,50,998,50,998
2023,IDALIA,NA,15:00:00,ET,32.2,-67.9,,,50,999
2023,IDALIA,NA,18:00:00,ET,32.1,-67.1,50,999,50,999
2023,IDALIA,NA,21:00:00,ET,32,-66.3,,,50,999
2023,IDALIA,NA,2023-09-02 0:00:00,ET,31.9,-65.7,50,999,50,999
2023,IDALIA,NA,3:00:00,ET,31.8,-65.2,,,50,999
2023,IDALIA,NA,6:00:00,ET,31.8,-64.7,50,999,50,999
2023,IDALIA,NA,9:00:00,ET,31.8,-64.3,,,50,999
2023,IDALIA,NA,12:00:00,ET,31.8,-63.9,50,998,50,998
2023,IDALIA,NA,15:00:00,ET,31.8,-63.5,,,50,998
2023,IDALIA,NA,18:00:00,ET,31.8,-63.1,50,997,50,997
2023,IDALIA,NA,21:00:00,ET,31.9,-62.7,,,50,997
2023,IDALIA,NA,2023-09-03 0:00:00,ET,32,-62.2,50,996,50,996
2023,IDALIA,NA,3:00:00,ET,32.2,-61.7,,,50,995
2023,IDALIA,NA,6:00:00,ET,32.5,-61.3,50,994,50,994
2023,IDALIA,NA,9:00:00,ET,32.9,-60.9,,,50,993
2023,IDALIA,NA,12:00:00,ET,33.4,-60.5,50,992,50,992
2023,IDALIA,NA,15:00:00,ET,34.1,-60.1,,,53,991
2023,IDALIA,NA,18:00:00,ET,34.9,-59.7,55,990,55,990
2023,IDALIA,NA,21:00:00,ET,35.6,-59.3,,,58,989
2023,IDALIA,NA,2023-09-04 0:00:00,ET,36.2,-58.9,60,988,60,988
2023,IDALIA,NA,3:00:00,ET,36.9,-58.4,,,60,987
2023,IDALIA,NA,6:00:00,ET,37.6,-58,60,985,60,985
2023,IDALIA,NA,9:00:00,ET,38.4,-57.7,,,58,985
2023,IDALIA,NA,12:00:00,ET,39.2,-57.5,55,985,55,985
2023,IDALIA,NA,15:00:00,ET,39.9,-57.6,,,55,986
2023,IDALIA,NA,18:00:00,ET,40.5,-57.9,55,986,55,986
2023,IDALIA,NA,21:00:00,ET,40.9,-58.3,,,53,986
2023,IDALIA,NA,2023-09-05 0:00:00,ET,41.1,-58.7,50,986,50,986
2023,IDALIA,NA,3:00:00,ET,41.3,-58.9,,,50,986
2023,IDALIA,NA,6:00:00,ET,41.6,-59.1,50,986,50,986
2023,IDALIA,NA,9:00:00,ET,41.9,-59.2,,,48,986
2023,IDALIA,NA,12:00:00,ET,42.2,-59.3,45,986,45,986
2023,IDALIA,NA,15:00:00,ET,42.4,-59.5,,,43,987
2023,IDALIA,NA,18:00:00,ET,42.6,-59.8,40,987,40,987
2023,IDALIA,NA,21:00:00,ET,42.6,-60.1,,,38,988
2023,IDALIA,NA,2023-09-06 0:00:00,ET,42.6,-60.5,35,988,35,988
2023,IDALIA,NA,3:00:00,ET,42.6,-61,,,35,990
2023,IDALIA,NA,6:00:00,ET,42.6,-61.4,35,991,35,991
2023,IDALIA,NA,9:00:00,ET,42.6,-61.7,,,35,992
2023,IDALIA,NA,12:00:00,ET,42.6,-62,35,992,35,992
2023,IDALIA,NA,15:00:00,ET,42.6,-62.4,,,35,993
2023,IDALIA,NA,18:00:00,ET,42.6,-62.8,35,994,35,994
2023,IDALIA,NA,21:00:00,ET,42.7,-63,,,33,995
2023,IDALIA,NA,2023-09-07 0:00:00,ET,42.9,-62.9,30,996,30,996
2023,IDALIA,NA,3:00:00,ET,43,-62.6,,,30,997
2023,IDALIA,NA,6:00:00,ET,43,-62.1,30,998,30,998
2023,IDALIA,NA,9:00:00,ET,43.1,-61.6,,,30,999
2023,IDALIA,NA,12:00:00,ET,43.2,-61.1,30,1000,30,1000
2023,IDALIA,NA,15:00:00,ET,43.4,-60.6,,,30,1001
2023,IDALIA,NA,18:00:00,ET,43.6,-60.1,30,1001,30,1001
2023,IDALIA,NA,21:00:00,ET,43.9,-59.7,,,30,1002
2023,IDALIA,NA,2023-09-08 0:00:00,ET,44.3,-59.3,30,1002,30,1002
2023,IDALIA,NA,3:00:00,ET,44.7,-58.8,,,30,1003
2023,IDALIA,NA,6:00:00,ET,45.2,-58.3,30,1003,30,1003
2022,NICOLE,NA,2022-11-06 12:00:00,DS,20.6,-66.8,30,1005,30,1005
2022,NICOLE,NA,15:00:00,DS,21.5,-66.7,,,33,1005
2022,NICOLE,NA,18:00:00,DS,22.4,-66.8,35,1005,35,1005
2022,NICOLE,NA,21:00:00,DS,23.2,-67.1,,,35,1005
2022,NICOLE,NA,2022-11-07 0:00:00,DS,23.9,-67.5,35,1005,35,1005
2022,NICOLE,NA,3:00:00,DS,24.6,-67.8,,,38,1005
2022,NICOLE,NA,6:00:00,SS,25.2,-68.2,40,1004,40,1004
2022,NICOLE,NA,9:00:00,SS,25.6,-68.7,,,40,1003
2022,NICOLE,NA,12:00:00,SS,25.9,-69.3,40,1002,40,1002
2022,NICOLE,NA,15:00:00,SS,26.2,-69.9,,,40,1002
2022,NICOLE,NA,18:00:00,SS,26.4,-70.3,40,1001,40,1001
2022,NICOLE,NA,21:00:00,SS,26.6,-70.5,,,40,1000
2022,NICOLE,NA,2022-11-08 0:00:00,SS,26.8,-70.7,40,998,40,998
2022,NICOLE,NA,3:00:00,SS,27.2,-70.9,,,40,997
2022,NICOLE,NA,6:00:00,SS,27.5,-71.2,40,996,40,996
2022,NICOLE,NA,9:00:00,SS,27.7,-71.6,,,43,995
