OBJECTID,Year,Name,BASIN,ISO_TIME,NATURE,LAT,LON,WMO_WIND,WMO_PRES,USA_WIND,USA_PRES,LAND
2007,2000,GORDON,,2000-09-14 12:00:00,TS,19.8,-87.3,25,1008,25,1008,N
2008,2000,GORDON,,2000-09-14 15:00:00,TS,20.1,-87.3,,,25,1008,N
2009,2000,GORDON,,2000-09-14 18:00:00,TS,20.4,-87.4,25,1007,25,1007,Y
2010,2000,GORDON,,2000-09-14 21:00:00,TS,20.6,-87.5,,,25,1007,Y
2011,2000,GORDON,,2000-09-15,TS,20.7,-87.7,25,1007,25,1007,Y
2012,2000,GORDON,,2000-09-15 3:00:00,TS,20.8,-87.8,,,25,1007,Y
2013,2000,GORDON,,2000-09-15 6:00:00,TS,21,-88,25,1006,25,1006,Y
2014,2000,GORDON,,2000-09-15 9:00:00,TS,21.2,-88.4,,,25,1005,Y
2015,2000,GORDON,,2000-09-15 12:00:00,TS,21.4,-88.7,25,1004,25,1004,Y
2016,2000,GORDON,,2000-09-15 15:00:00,TS,21.5,-88.4,,,28,1004,N
2017,2000,GORDON,,2000-09-15 18:00:00,TS,21.6,-87.8,30,1004,30,1004,N
2018,2000,GORDON,,2000-09-15 21:00:00,TS,22,-87.2,,,35,1002,N
2019,2000,GORDON,,2000-09-16,TS,22.5,-86.7,40,1000,40,1000,N
2020,2000,GORDON,,2000-09-16 3:00:00,TS,22.7,-86.6,,,45,999,N
2021,2000,GORDON,,2000-09-16 6:00:00,TS,22.9,-86.6,50,997,50,997,N
2022,2000,GORDON,,2000-09-16 9:00:00,TS,23.2,-86.5,,,53,995,N
2023,2000,GORDON,,2000-09-16 12:00:00,TS,23.5,-86.3,55,992,55,992,N
2024,2000,GORDON,,2000-09-16 15:00:00,TS,23.9,-86.1,,,58,988,N
2025,2000,GORDON,,2000-09-16 18:00:00,TS,24.3,-85.9,60,983,60,983,N
2026,2000,GORDON,,2000-09-16 21:00:00,TS,24.7,-85.7,,,63,984,N
2027,2000,GORDON,,2000-09-17,TS,25.2,-85.4,65,985,65,985,N
2028,2000,GORDON,,2000-09-17 3:00:00,TS,25.6,-85.2,,,68,983,N
2029,2000,GORDON,,2000-09-17 6:00:00,TS,26.1,-84.9,70,981,70,981,N
2030,2000,GORDON,,2000-09-17 9:00:00,TS,26.6,-84.6,,,68,984,N
2031,2000,GORDON,,2000-09-17 12:00:00,TS,27.1,-84.3,65,987,65,987,N
2032,2000,GORDON,,2000-09-17 15:00:00,TS,27.6,-84,,,65,986,N
2033,2000,GORDON,,2000-09-17 18:00:00,TS,28,-83.8,65,985,65,985,N
2034,2000,GORDON,,2000-09-17 21:00:00,TS,28.5,-83.6,,,63,987,N
2035,2000,GORDON,,2000-09-18,TS,28.9,-83.4,60,989,60,989,N
2036,2000,GORDON,,2000-09-18 3:00:00,TS,29.3,-83.2,55,991,55,991,N
2037,2000,GORDON,,2000-09-18 6:00:00,TS,29.8,-83,40,1000,40,1000,Y
2038,2000,GORDON,,2000-09-18 9:00:00,TS,30.4,-82.7,,,35,1003,Y
2039,2000,GORDON,,2000-09-18 12:00:00,TS,31,-82.3,30,1006,30,1006,Y
2040,2000,GORDON,,2000-09-18 15:00:00,TS,31.6,-81.9,,,28,1009,Y
2041,2000,GORDON,,2000-09-18 18:00:00,ET,32.3,-81.5,25,1011,25,1011,Y
2042,2000,GORDON,,2000-09-18 21:00:00,ET,32.9,-80.9,,,25,1011,Y
2043,2000,GORDON,,2000-09-19,ET,33.5,-80.2,25,1011,25,1011,Y
2044,2000,GORDON,,2000-09-19 3:00:00,ET,34.2,-79.6,,,23,1011,Y
2045,2000,GORDON,,2000-09-19 6:00:00,ET,35,-79,20,1011,20,1011,Y
2046,2000,GORDON,,2000-09-19 9:00:00,ET,36,-78.7,,,20,1011,Y
2047,2000,GORDON,,2000-09-19 12:00:00,ET,37,-78.2,20,1010,20,1010,Y
2048,2000,GORDON,,2000-09-19 15:00:00,ET,37.8,-77.2,,,23,1009,Y
2049,2000,GORDON,,2000-09-19 18:00:00,ET,38.5,-76,25,1008,25,1008,Y
2050,2000,GORDON,,2000-09-19 21:00:00,ET,39.2,-75,,,25,1008,N
2051,2000,GORDON,,2000-09-20,ET,40,-74,25,1007,25,1007,N
2052,2000,GORDON,,2000-09-20 3:00:00,ET,40.8,-73,,,25,1006,Y
2053,2000,GORDON,,2000-09-20 6:00:00,ET,41.5,-72,25,1005,25,1005,Y
2054,2000,GORDON,,2000-09-20 9:00:00,ET,41.8,-70.8,,,28,1005,Y
2055,2000,GORDON,,2000-09-20 12:00:00,ET,42,-69.5,30,1005,30,1005,N
2056,2000,GORDON,,2000-09-20 15:00:00,ET,42.2,-68.3,,,30,1005,N
2057,2000,GORDON,,2000-09-20 18:00:00,ET,42.5,-67.2,30,1005,30,1005,N
2058,2000,GORDON,,2000-09-20 21:00:00,ET,42.7,-66.1,,,30,1005,N
2059,2000,GORDON,,2000-09-21,ET,43,-65,30,1004,30,1004,N
2060,2000,GORDON,,2000-09-21 3:00:00,ET,43.3,-64,,,30,1004,N
2061,2000,GORDON,,2000-09-21 6:00:00,ET,43.5,-63,30,1003,30,1003,N
1953,2004,CHARLEY,,2004-08-09 12:00:00,TS,11.4,-59.2,30,1010,30,1010,N
1954,2004,CHARLEY,,2004-08-09 15:00:00,TS,11.5,-60.1,,,30,1010,N
1955,2004,CHARLEY,,2004-08-09 18:00:00,TS,11.7,-61.1,30,1009,30,1009,N
1956,2004,CHARLEY,,2004-08-09 21:00:00,TS,11.9,-62.1,,,30,1009,N
1957,2004,CHARLEY,,2004-08-10,TS,12.2,-63.2,30,1009,30,1009,N
1958,2004,CHARLEY,,2004-08-10 3:00:00,TS,12.5,-64.2,,,33,1008,N
1959,2004,CHARLEY,,2004-08-10 6:00:00,TS,12.9,-65.3,35,1007,35,1007,N
1960,2004,CHARLEY,,2004-08-10 9:00:00,TS,13.3,-66.4,,,38,1006,N
