Year,Name,BASIN,ISO_TIME,NATURE,LAT,LON,WMO WIND,WMO PRES,USA WIND,USA PRES,ENSO
2022,NICOLE,,2022-11-06 12:00:00,DS,20.6,-66.8,30.0,1005.0,30,1005,La Niña
2022,NICOLE,,2022-11-06 15:00:00,DS,21.5,-66.7,,,33,1005,La Niña
2022,NICOLE,,2022-11-06 18:00:00,DS,22.4,-66.8,35.0,1005.0,35,1005,La Niña
2022,NICOLE,,2022-11-06 21:00:00,DS,23.2,-67.1,,,35,1005,La Niña
2022,NICOLE,,2022-11-07 00:00:00,DS,23.9,-67.5,35.0,1005.0,35,1005,La Niña
2022,NICOLE,,2022-11-07 03:00:00,DS,24.6,-67.8,,,38,1005,La Niña
2022,NICOLE,,2022-11-07 06:00:00,SS,25.2,-68.2,40.0,1004.0,40,1004,La Niña
2022,NICOLE,,2022-11-07 09:00:00,SS,25.6,-68.7,,,40,1003,La Niña
2022,NICOLE,,2022-11-07 12:00:00,SS,25.9,-69.3,40.0,1002.0,40,1002,La Niña
2022,NICOLE,,2022-11-07 15:00:00,SS,26.2,-69.9,,,40,1002,La Niña
2022,NICOLE,,2022-11-07 18:00:00,SS,26.4,-70.3,40.0,1001.0,40,1001,La Niña
2022,NICOLE,,2022-11-07 21:00:00,SS,26.6,-70.5,,,40,1000,La Niña
2022,NICOLE,,2022-11-08 00:00:00,SS,26.8,-70.7,40.0,998.0,40,998,La Niña
2022,NICOLE,,2022-11-08 03:00:00,SS,27.2,-70.9,,,40,997,La Niña
2022,NICOLE,,2022-11-08 06:00:00,SS,27.5,-71.2,40.0,996.0,40,996,La Niña
2022,NICOLE,,2022-11-08 09:00:00,SS,27.7,-71.6,,,43,995,La Niña
2022,NICOLE,,2022-11-08 12:00:00,SS,27.7,-72.1,45.0,993.0,45,993,La Niña
2022,NICOLE,,2022-11-08 15:00:00,SS,27.7,-72.7,,,48,992,La Niña
2022,NICOLE,,2022-11-08 18:00:00,TS,27.6,-73.3,50.0,991.0,50,991,La Niña
2022,NICOLE,,2022-11-08 21:00:00,TS,27.4,-73.8,,,55,988,La Niña
2022,NICOLE,,2022-11-09 00:00:00,TS,27.2,-74.3,60.0,984.0,60,984,La Niña
2022,NICOLE,,2022-11-09 03:00:00,TS,27.0,-74.8,,,60,985,La Niña
2022,NICOLE,,2022-11-09 06:00:00,TS,26.8,-75.3,60.0,986.0,60,986,La Niña
2022,NICOLE,,2022-11-09 09:00:00,TS,26.6,-75.7,,,58,986,La Niña
2022,NICOLE,,2022-11-09 12:00:00,TS,26.5,-76.2,55.0,985.0,55,985,La Niña
2022,NICOLE,,2022-11-09 15:00:00,TS,26.5,-76.7,,,58,985,La Niña
2022,NICOLE,,2022-11-09 17:00:00,TS,26.5,-77.1,60.0,985.0,60,985,La Niña
2022,NICOLE,,2022-11-09 18:00:00,TS,26.5,-77.3,60.0,985.0,60,985,La Niña
2022,NICOLE,,2022-11-09 21:00:00,TS,26.5,-77.8,,,63,982,La Niña
2022,NICOLE,,2022-11-09 23:00:00,TS,26.6,-78.2,65.0,980.0,65,980,La Niña
2022,NICOLE,,2022-11-10 00:00:00,TS,26.7,-78.4,65.0,980.0,65,980,La Niña
2022,NICOLE,,2022-11-10 03:00:00,TS,27.0,-79.0,,,65,980,La Niña
2022,NICOLE,,2022-11-10 06:00:00,TS,27.3,-79.8,65.0,980.0,65,980,La Niña
2022,NICOLE,,2022-11-10 07:45:00,TS,27.6,-80.3,65.0,980.0,65,980,La Niña
2022,NICOLE,,2022-11-10 09:00:00,TS,27.7,-80.7,,,62,981,La Niña
2022,NICOLE,,2022-11-10 12:00:00,TS,28.0,-81.6,55.0,984.0,55,984,La Niña
2022,NICOLE,,2022-11-10 15:00:00,TS,28.4,-82.2,,,48,987,La Niña
2022,NICOLE,,2022-11-10 18:00:00,TS,29.0,-82.8,40.0,989.0,40,989,La Niña
2022,NICOLE,,2022-11-10 19:00:00,TS,29.2,-83.0,40.0,989.0,40,989,La Niña
2022,NICOLE,,2022-11-10 21:00:00,TS,29.6,-83.4,,,38,990,La Niña
2022,NICOLE,,2022-11-11 00:00:00,TS,30.1,-84.0,35.0,992.0,35,992,La Niña
2022,NICOLE,,2022-11-11 03:00:00,TS,30.6,-84.4,,,33,994,La Niña
2022,NICOLE,,2022-11-11 06:00:00,TS,31.2,-84.6,30.0,996.0,30,996,La Niña
2022,NICOLE,,2022-11-11 09:00:00,TS,32.1,-84.7,,,28,998,La Niña
2022,NICOLE,,2022-11-11 12:00:00,TS,33.2,-84.6,25.0,999.0,25,999,La Niña
2022,NICOLE,,2022-11-11 15:00:00,TS,34.3,-84.3,,,25,1000,La Niña
2022,NICOLE,,2022-11-11 18:00:00,DS,35.4,-83.8,25.0,1000.0,25,1000,La Niña
2022,IAN,,2022-09-22 18:00:00,DS,12.3,-66.3,30.0,1006.0,30,1006,La Niña
2022,IAN,,2022-09-22 21:00:00,DS,12.6,-66.8,,,30,1006,La Niña
2022,IAN,,2022-09-23 00:00:00,DS,12.9,-67.2,30.0,1006.0,30,1006,La Niña
2022,IAN,,2022-09-23 03:00:00,DS,13.3,-67.6,,,30,1006,La Niña
2022,IAN,,2022-09-23 06:00:00,TS,13.7,-68.1,30.0,1006.0,30,1006,La Niña
2022,IAN,,2022-09-23 09:00:00,TS,14.0,-68.7,,,30,1006,La Niña
2022,IAN,,2022-09-23 12:00:00,TS,14.2,-69.3,30.0,1006.0,30,1006,La Niña
2022,IAN,,2022-09-23 15:00:00,TS,14.4,-70.0,,,30,1006,La Niña
2022,IAN,,2022-09-23 18:00:00,TS,14.6,-70.6,30.0,1006.0,30,1006,La Niña
2022,IAN,,2022-09-23 21:00:00,TS,14.7,-71.2,,,33,1006,La Niña
2022,IAN,,2022-09-24 00:00:00,TS,14.7,-71.7,35.0,1005.0,35,1005,La Niña
2022,IAN,,2022-09-24 03:00:00,TS,14.7,-72.3,,,35,1005,La Niña
2022,IAN,,2022-09-24 06:00:00,TS,14.7,-72.9,35.0,1005.0,35,1005,La Niña
2022,IAN,,2022-09-24 09:00:00,TS,14.6,-73.6,,,38,1004,La Niña
2022,IAN,,2022-09-24 12:00:00,TS,14.5,-74.4,40.0,1003.0,40,1003,La Niña
2022,IAN,,2022-09-24 15:00:00,TS,14.4,-75.1,,,40,1003,La Niña
2022,IAN,,2022-09-24 18:00:00,TS,14.4,-75.8,40.0,1003.0,40,1003,La Niña
2022,IAN,,2022-09-24 21:00:00,TS,14.5,-76.5,,,40,1003,La Niña
