STORMNAME,DTG,YEAR,MONTH,DAY,HHMM,MSLP,BASIN,STORMNUM,STORMTYPE,INTENSITY,SS,LAT,LON
FOURTEEN,2024100512,2024,10,5,1200,1007,al,14,TD,30,0,22,-96
MILTON,2024100518,2024,10,5,1800,1006,al,14,TS,35,0,23,-96
MILTON,2024100600,2024,10,6,0000,1006,al,14,TS,35,0,23,-96
MILTON,2024100606,2024,10,6,0600,1000,al,14,TS,45,0,23,-95
MILTON,2024100612,2024,10,6,1200,991,al,14,TS,55,0,23,-95
MILTON,2024100618,2024,10,6,1800,987,al,14,HU,70,1,23,-94
MILTON,2024100700,2024,10,7,0000,981,al,14,HU,75,1,23,-93
MILTON,2024100706,2024,10,7,0600,972,al,14,HU,90,2,22,-93
MILTON,2024100712,2024,10,7,1200,943,al,14,HU,120,4,22,-92
MILTON,2024100718,2024,10,7,1800,909,al,14,HU,150,5,22,-91
MILTON,2024100800,2024,10,8,0000,901,al,14,HU,150,5,22,-90
MILTON,2024100806,2024,10,8,0600,924,al,14,HU,135,4,22,-90
MILTON,2024100812,2024,10,8,1200,929,al,14,HU,130,4,23,-89
MILTON,2024100818,2024,10,8,1800,915,al,14,HU,145,5,23,-88
MILTON,2024100900,2024,10,9,0000,908,al,14,HU,140,5,23,-87
MILTON,2024100906,2024,10,9,0600,908,al,14,HU,140,5,24,-86
MILTON,2024100912,2024,10,9,1200,920,al,14,HU,135,4,25,-85
MILTON,2024100918,2024,10,9,1800,944,al,14,HU,115,4,26,-84
MILTON,2024101000,2024,10,10,0000,954,al,14,HU,105,3,27,-83
MILTON,2024101006,2024,10,10,0600,975,al,14,HU,80,1,28,-81
MILTON,2024101012,2024,10,10,1200,983,al,14,HU,70,1,29,-80
MILTON,2024101018,2024,10,10,1800,983,al,14,EX,60,0,30,-78
